Time,eNodeB Name, Frequency band,Cell FDD TDD Indication,Cell Name,Downlink EARFCN,Downlink bandwidth,LTECell Tx and Rx Mode,LocalCell Id,eNodeB Function Name,Latitude,Longitude,Integrity,FT_AVE 4G/LTE DL USER THRPUT without Last TTI(ALL) (KBPS)(kbit/s),FT_AVERAGE NB OF USERS (UEs RRC CONNECTED),FT_PHYSICAL RESOURCE BLOCKS LOAD DL(%),FT_PHYSICAL RESOURCE BLOCKS LOAD UL,FT_4G/LTE DL TRAFFIC VOLUME (GBYTES),FT_4G/LTE DL&UL TRAFFIC VOLUME (GBYTES),FT_4G/LTE UL TRAFFIC VOLUME (GBYTES),AVE 4G/LTE DL USER THRPUT without Last TTI,Average Nb of Used PRB for SRB,Average Nb of PRB used per Ue,Average Nb of e-RAB per UE,FT_4G/LTE CONGESTED CELLS RATE,FT_4G/LTE CALL SETUP SUCCESS RATE,FT_4G/LTE DROP CALL RATE FOR CARRIER AGREGGATION(%),FT_4G/LTE DROP CALL RATE,FT_4G/LTE VOLTE TRAFFIC VOLUME (GBYTES),FT_CS FALLBACK SUCCESS RATE (4G SIDE ONLY),FT_CS FALLBACK TO WCDMA RATIO,FT_S1 SUCCESS RATE,Average number of activated UEs,Average number of users with data in the buffer,Connected user license,Maximum number of activated UEs,Maximum number of users with data in the buffer,PRBs,PUCCH and SRS resources,RRC SetupFail,Service drop rate(%),Service Integrity,City
02-27-2023 00:00,KEB_0009_LM,3,CELL_FDD,KEB_0009_C05_110_h3,1600,CELL_BW_N100,2T2R,6,KEB_0009_LM,0,0,100%,20865.0634,5.8203,3.7198,6.8217,0.7633,0.7955,0.0322,705.2072,0.0009,0.6391,0.9953,0.14,100.0,0.0,0.0,0.0,100.0,0.0009,100.0,0.3377,0.0,5.8203,4,0,3.7198,5.8203,0,0.0,11.9705,KEB
02-27-2023 00:00,KEB_0009_LM,3,CELL_FDD,KEB_0009_C05_110_h2,1600,CELL_BW_N100,2T2R,5,KEB_0009_LM,0,0,100%,7317.4103,0.2853,0.9607,7.2691,0.002,0.0028,0.0008,1108.6813,0.0156,3.3677,0.9854,0.0018,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0075,0.0,0.2853,2,0,0.9607,0.2853,0,0.0,3.854,KEB
02-27-2023 00:00,KEB_0009_LM,3,CELL_FDD,KEB_0009_C05_110_h1,1600,CELL_BW_N100,2T2R,4,KEB_0009_LM,0,0,100%,15634.9317,4.3808,4.7348,7.4519,0.6217,0.6951,0.0735,2401.5729,0.0012,1.0808,0.9968,0.149,100.0,0.0,0.0,0.0,100.0,0.0077,100.0,0.3235,0.0,4.3808,5,0,4.7348,4.3808,0,0.0,23.1399,KEB
02-27-2023 00:00,KEB_0009_LM,20,CELL_FDD,KEB_0009_C05_110_f3,6300,CELL_BW_N50,2T2R,3,KEB_0009_LM,0,0,100%,10731.3802,3.8603,16.2954,13.4266,0.8924,0.9275,0.0351,892.6812,0.0019,2.1107,0.9896,0.2789,100.0,0.0,0.1712,0.0,0.0,0.0,100.0,0.4356,0.0,3.8603,5,0,8.1477,3.8603,0,0.0,46.8334,KEB
02-27-2023 00:00,KEB_0009_LM,20,CELL_FDD,KEB_0009_C05_110_f2,6300,CELL_BW_N50,2T2R,2,KEB_0009_LM,0,0,100%,19732.9791,0.2544,2.2922,10.6041,0.0675,0.0691,0.0016,733.8996,0.0004,4.5045,0.9847,0.0093,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0182,0.0,0.2544,2,0,1.1461,0.2544,1,0.0,19.404,KEB
02-27-2023 00:00,KEB_0009_LM,20,CELL_FDD,KEB_0009_C05_110_f1,6300,CELL_BW_N50,2T2R,1,KEB_0009_LM,0,0,100%,11342.0863,0.4536,6.4725,10.9282,0.2372,0.2439,0.0067,1234.125,0.0003,7.1344,0.992,0.0574,100.0,0.0,0.0,0.0,100.0,0.0571,100.0,0.0722,0.0,0.4536,3,0,3.2362,0.4536,0,0.0,41.7856,KEB
02-27-2023 00:00,KEB_0018_LM,20,CELL_FDD,KEB_0018_C07_310_f3,6300,CELL_BW_N50,2T2R,3,KEB_0018_LM,0,0,100%,15772.1438,7.6208,14.4439,16.9897,0.9855,1.1109,0.1255,1641.7842,0.003,0.9477,0.9896,0.3598,98.8417,0.0,0.087,0.0,100.0,0.0137,100.0,0.8605,0.0,7.6208,7,0,7.222,7.6208,0,0.0,20.3197,KEB
02-27-2023 00:00,KEB_0018_LM,20,CELL_FDD,KEB_0018_C07_310_f2,6300,CELL_BW_N50,2T2R,2,KEB_0018_LM,0,0,100%,11612.151,14.7833,33.6608,21.0089,2.7877,2.944,0.1563,1151.9697,0.0028,1.1385,0.9956,0.9987,99.9115,0.0,0.0,0.0,100.0,0.0018,100.0,1.7347,0.0,14.7833,10,0,16.8304,14.7833,1,0.0,38.4101,KEB
02-27-2023 00:00,KEB_0018_LM,20,CELL_FDD,KEB_0018_C07_310_f1,6300,CELL_BW_N50,2T2R,1,KEB_0018_LM,0,0,100%,14825.653,5.1228,16.0719,14.1265,1.1286,1.1792,0.0505,1323.1874,0.0023,1.5687,0.9872,0.3929,99.2757,0.0,0.1967,0.0,100.0,0.0017,99.8691,0.6223,0.0,5.1228,6,0,8.0359,5.1228,4,0.0,21.8577,KEB
02-27-2023 00:00,KEB_0018_LM,1,CELL_FDD,KEB_0018_C07_310_l1,475,CELL_BW_N75,2T2R,7,KEB_0018_LM,0,0,100%,25465.7532,10.1006,14.5833,11.0322,1.9248,2.0027,0.0778,887.7322,0.0019,1.0829,0.9943,0.3078,99.7515,0.0,0.0502,0.0,100.0,0.007,100.0,0.6237,0.0,10.1006,7,0,10.9374,10.1006,7,0.0,22.4816,KEB
