Time,eNodeB Name, Frequency band,Cell FDD TDD Indication,Cell Name,Downlink EARFCN,Downlink bandwidth,LTECell Tx and Rx Mode,LocalCell Id,eNodeB Function Name,Latitude,Longitude,Integrity,FT_AVE 4G/LTE DL USER THRPUT without Last TTI(ALL) (KBPS)(kbit/s),FT_AVERAGE NB OF USERS (UEs RRC CONNECTED),FT_PHYSICAL RESOURCE BLOCKS LOAD DL(%),FT_PHYSICAL RESOURCE BLOCKS LOAD UL,FT_4G/LTE DL TRAFFIC VOLUME (GBYTES),FT_4G/LTE DL&UL TRAFFIC VOLUME (GBYTES),FT_4G/LTE UL TRAFFIC VOLUME (GBYTES),AVE 4G/LTE DL USER THRPUT without Last TTI,Average Nb of Used PRB for SRB,Average Nb of PRB used per Ue,Average Nb of e-RAB per UE,FT_4G/LTE CONGESTED CELLS RATE,FT_4G/LTE CALL SETUP SUCCESS RATE,FT_4G/LTE DROP CALL RATE FOR CARRIER AGREGGATION(%),FT_4G/LTE DROP CALL RATE,FT_4G/LTE VOLTE TRAFFIC VOLUME (GBYTES),FT_CS FALLBACK SUCCESS RATE (4G SIDE ONLY),FT_CS FALLBACK TO WCDMA RATIO,FT_S1 SUCCESS RATE,Average number of activated UEs,Average number of users with data in the buffer,Connected user license,Maximum number of activated UEs,Maximum number of users with data in the buffer,PRBs,PUCCH and SRS resources,RRC SetupFail,Service drop rate(%),Service Integrity,City
02-27-2023 00:00,SIL_0017_LM,20,CELL_FDD,SIL_0017_C05_211_f3,6300,CELL_BW_N50,2T2R,3,SIL_0017_LM,0,0,100%,21873.3052,2.5856,4.5005,11.7025,0.336,0.3689,0.0329,2041.7561,0.0011,0.8703,0.9915,0.0692,99.8807,0.0,0.0,0.0,100.0,0.0012,100.0,0.1668,0.0,2.5856,5,0,2.2502,2.5856,1,0.0,16.1784,SIL
02-27-2023 00:00,SIL_0017_LM,20,CELL_FDD,SIL_0017_C05_211_f2,6300,CELL_BW_N50,2T2R,2,SIL_0017_LM,0,0,100%,16251.9963,1.9975,5.1501,11.6549,0.3411,0.3606,0.0196,979.9275,0.0007,1.2891,0.9843,0.1106,99.4322,0.0,0.2326,0.0,100.0,0.0019,100.0,0.2177,0.0,1.9975,4,0,2.5751,1.9975,1,0.0019,16.8938,SIL
02-27-2023 00:00,SIL_0017_LM,20,CELL_FDD,SIL_0017_C05_211_f4,6300,CELL_BW_N50,2T2R,11,SIL_0017_LM,0,0,100%,19359.67,13.7728,19.6765,16.988,2.1685,2.2504,0.0819,768.5637,0.0017,0.7143,0.923,0.4523,99.5578,0.0,0.0,0.0,100.0,0.0019,100.0,0.947,0.0,13.7728,9,0,9.8383,13.7703,14,0.0,19.6611,SIL
02-27-2023 00:00,SIL_0017_LM,20,CELL_FDD,SIL_0017_C05_211_f1,6300,CELL_BW_N50,2T2R,1,SIL_0017_LM,0,0,100%,12279.5608,12.5392,28.6533,45.2476,2.0611,2.8223,0.7611,3123.4921,0.0046,1.1426,0.9996,1.0851,98.7982,0.0,0.0,0.0,100.0,0.0019,99.9607,2.2706,0.0,12.5392,10,0,14.3267,12.5392,24,0.0,32.2664,SIL
02-27-2023 00:00,SIL_0017_LM,1,CELL_FDD,SIL_0017_C05_211_l1,475,CELL_BW_N75,2T2R,7,SIL_0017_LM,0,0,100%,27621.4442,8.2306,14.0772,10.1471,2.0105,2.0794,0.0689,1376.4674,0.0022,1.2828,1.08,0.3072,99.7226,0.0,0.1362,0.0,100.0,0.0045,100.0,0.5909,0.0,8.2306,7,0,10.5579,8.2306,11,0.0,21.7892,SIL
02-27-2023 00:00,SIL_0017_LM,1,CELL_FDD,SIL_0017_C05_211_l4,475,CELL_BW_N75,2T2R,17,SIL_0017_LM,0,0,100%,26814.3715,10.5856,9.8624,11.6187,1.4892,1.6179,0.1287,1207.7094,0.0015,0.6988,1.0949,0.6581,99.5866,3.3333,0.1195,0.0,100.0,0.0018,100.0,1.2062,0.0,10.5856,8,0,7.3968,10.5856,4,0.0006,6.1208,SIL
02-27-2023 00:00,SIL_0002_LM,20,CELL_FDD,SIL_0002_C01_110_f1,6300,CELL_BW_N50,2T2R,1,SIL_0002_LM,0,0,100%,10731.1866,13.8859,38.5258,21.897,2.9046,3.0466,0.142,937.5683,0.0052,1.3872,0.988,0.8765,99.7436,0.0,0.0,0.0,91.6667,0.004,99.9238,1.4952,0.0,13.8859,10,0,19.2629,13.8859,0,0.0,55.2471,SIL
02-27-2023 00:00,SIL_0002_LM,20,CELL_FDD,SIL_0002_C01_110_f3,6300,CELL_BW_N50,2T2R,3,SIL_0002_LM,0,0,100%,28912.8114,5.2202,16.0891,13.3859,2.332,2.4101,0.0781,1580.8391,0.0005,1.541,0.9979,0.3051,99.8363,0.0,0.1582,0.0,100.0,0.0032,100.0,0.5825,0.0,5.2202,6,0,8.0446,5.2202,1,0.0,11.4085,SIL
02-27-2023 00:00,SIL_0002_LM,20,CELL_FDD,SIL_0002_C01_110_f2,6300,CELL_BW_N50,2T2R,2,SIL_0002_LM,0,0,100%,12886.5219,6.4088,29.2523,14.8422,2.3595,2.4494,0.0899,1183.0865,0.0014,2.2822,0.9941,0.4865,99.4453,0.0,0.0,0.0,100.0,0.0036,100.0,0.7207,0.0,6.4088,7,0,14.6262,6.4088,5,0.0,53.2996,SIL
02-27-2023 00:00,SIL_0014_LM,20,CELL_FDD,SIL_0014_C02_309_f3,6300,CELL_BW_N50,2T2R,3,SIL_0014_LM,0,0,100%,12771.4846,12.3578,23.5766,19.7374,1.7753,1.8688,0.0935,700.5744,0.0035,0.9539,0.9895,0.4487,100.0,0.0,0.0,0.0,100.0,0.0027,100.0,0.9861,0.0,12.3578,7,0,11.7883,12.3578,0,0.0,43.0569,SIL
