Time,eNodeB Name, Frequency band,Cell FDD TDD Indication,Cell Name,Downlink EARFCN,Downlink bandwidth,LTECell Tx and Rx Mode,LocalCell Id,eNodeB Function Name,Latitude,Longitude,Integrity,FT_AVE 4G/LTE DL USER THRPUT without Last TTI(ALL) (KBPS)(kbit/s),FT_AVERAGE NB OF USERS (UEs RRC CONNECTED),FT_PHYSICAL RESOURCE BLOCKS LOAD DL(%),FT_PHYSICAL RESOURCE BLOCKS LOAD UL,FT_4G/LTE DL TRAFFIC VOLUME (GBYTES),FT_4G/LTE DL&UL TRAFFIC VOLUME (GBYTES),FT_4G/LTE UL TRAFFIC VOLUME (GBYTES),AVE 4G/LTE DL USER THRPUT without Last TTI,Average Nb of Used PRB for SRB,Average Nb of PRB used per Ue,Average Nb of e-RAB per UE,FT_4G/LTE CONGESTED CELLS RATE,FT_4G/LTE CALL SETUP SUCCESS RATE,FT_4G/LTE DROP CALL RATE FOR CARRIER AGREGGATION(%),FT_4G/LTE DROP CALL RATE,FT_4G/LTE VOLTE TRAFFIC VOLUME (GBYTES),FT_CS FALLBACK SUCCESS RATE (4G SIDE ONLY),FT_CS FALLBACK TO WCDMA RATIO,FT_S1 SUCCESS RATE,Average number of activated UEs,Average number of users with data in the buffer,Connected user license,Maximum number of activated UEs,Maximum number of users with data in the buffer,PRBs,PUCCH and SRS resources,RRC SetupFail,Service drop rate(%),Service Integrity,City
03-01-2023 00:00,Tun_0352_BH_TR,1,CELL_FDD,Tun_0352_C02_321_l3,475,CELL_BW_N75,4T4R,9,Tun_0352_BH_TR,0,0,100%,12192.7361,0.2375,1.5881,7.0031,0.0219,0.0226,0.0007,1833.3776,0.0012,5.0151,1.007,0.007,100.0,0.0,6.25,0.0,0.0,0.0,100.0,0.0105,0.0,0.2375,2,0,1.1911,0.2375,0,0.0,28.8366,Tun
03-01-2023 00:00,Tun_0352_BH_TR,1,CELL_FDD,Tun_0352_C02_321_l2,475,CELL_BW_N75,4T4R,8,Tun_0352_BH_TR,0,0,100%,21378.8123,0.7089,2.6206,7.2129,0.1409,0.1496,0.0087,2207.595,0.0005,2.7726,0.9926,0.0267,100.0,0.0,0.7407,0.0,0.0,0.0,100.0,0.0481,0.0,0.7089,3,0,1.9654,0.7067,0,0.0074,17.1742,Tun
03-01-2023 00:00,Tun_0352_BH_TR,1,CELL_FDD,Tun_0352_C02_321_l1,475,CELL_BW_N75,4T4R,7,Tun_0352_BH_TR,0,0,100%,35443.8716,0.9622,1.5311,8.1959,0.027,0.1907,0.1638,14393.095,0.0015,1.1934,0.9971,0.0196,100.0,0.0,0.365,0.0,0.0,0.0,100.0,0.0813,0.0,0.9622,2,0,1.1483,0.9622,0,0.0,4.3906,Tun
03-01-2023 00:00,Tun_0352_BH_TR,3,CELL_FDD,Tun_0352_C02_321_j3,1475,CELL_BW_N25,2T2R,106,Tun_0352_BH_TR,0,0,100%,1835.9932,0.0278,3.9902,18.4523,0.0003,0.0006,0.0003,1111.5731,0.006,35.9089,0.9899,0.0007,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0024,0.0,0.0278,2,0,0.9976,0.0278,0,0.0,6.8134,Tun
03-01-2023 00:00,Tun_0352_BH_TR,3,CELL_FDD,Tun_0352_C02_321_j2,1475,CELL_BW_N25,2T2R,105,Tun_0352_BH_TR,0,0,100%,12295.941,0.0344,4.2828,18.4342,0.0186,0.0189,0.0003,1417.9615,0.0003,31.0891,0.9759,0.0064,80.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0071,0.0,0.0344,2,0,1.0707,0.0344,1,0.0,438.9057,Tun
03-01-2023 00:00,Tun_0352_BH_TR,3,CELL_FDD,Tun_0352_C02_321_j1,1475,CELL_BW_N25,2T2R,104,Tun_0352_BH_TR,0,0,100%,304.2998,0.0181,3.9908,18.4281,0.0001,0.0003,0.0002,754.0974,0.0135,55.2436,1.0615,0.0016,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0036,0.0,0.0181,1,0,0.9977,0.0181,0,0.0,3.689,Tun
03-01-2023 00:00,Tun_0352_BH_TR,3,CELL_FDD,Tun_0352_C02_321_h3,1600,CELL_BW_N100,4T4R,6,Tun_0352_BH_TR,0,0,100%,21995.2554,0.8528,1.151,5.3088,0.0198,0.0218,0.002,1988.8042,0.0027,1.3498,0.998,0.0035,100.0,0.0,1.9737,0.0,100.0,0.0184,100.0,0.0094,0.0,0.8528,2,0,1.151,0.8528,0,0.0,12.1322,Tun
03-01-2023 00:00,Tun_0352_BH_TR,3,CELL_FDD,Tun_0352_C02_321_h2,1600,CELL_BW_N100,4T4R,5,Tun_0352_BH_TR,0,0,100%,72013.6372,1.3728,1.5367,5.6496,0.141,0.161,0.02,2314.7866,0.0005,1.1194,0.9957,0.0327,100.0,0.0,0.0,0.0,100.0,0.0125,100.0,0.0943,0.0,1.3728,3,0,1.5367,1.3728,0,0.0,7.9231,Tun
03-01-2023 00:00,Tun_0352_BH_TR,3,CELL_FDD,Tun_0352_C02_321_h1,1600,CELL_BW_N100,4T4R,4,Tun_0352_BH_TR,0,0,100%,45398.8212,1.1222,0.9975,5.4188,0.0054,0.0064,0.001,1476.0482,0.0035,0.8888,0.9973,0.0034,100.0,0.0,0.0,0.0,100.0,0.1395,100.0,0.0075,0.0,1.1222,2,0,0.9975,1.1222,1,0.0,2.4736,Tun
03-01-2023 00:00,Tun_0352_BH_TR,20,CELL_FDD,Tun_0352_C02_321_f3,6300,CELL_BW_N50,2T2R,3,Tun_0352_BH_TR,0,0,100%,7866.8235,0.0289,1.8298,10.4158,0.0001,0.0001,0.0001,3530.101,0.0902,31.6691,0.875,0.0001,100.0,0.0,8.3333,0.0,0.0,0.0,100.0,0.0002,0.0,0.0289,1,0,0.9149,0.0289,0,0.0,2.7958,Tun
