Year	Month	Day	Temperature
2016	1	1	12.81
2016	1	2	13.13
2016	1	3	13.61
2016	1	4	15.21
2016	1	5	15.13
2016	1	6	13.47
2016	1	7	14.05
2016	1	8	14.55
2016	1	9	14.59
2016	1	10	13.98
2016	1	11	13.49
2016	1	12	14.51
2016	1	13	12.64
2016	1	14	11.5
2016	1	15	12.41
2016	1	16	10.09
2016	1	17	9.87
2016	1	18	10.25
2016	1	19	10.41
2016	1	20	10.05
2016	1	21	9.81
2016	1	22	10.9
2016	1	23	11.03
2016	1	24	12.02
2016	1	25	10.06
2016	1	26	10.05
2016	1	27	10.64
2016	1	28	11.17
2016	1	29	10.92
2016	1	30	11.28
2016	1	31	12.94
2016	2	1	14.51
2016	2	2	14
2016	2	3	12.84
2016	2	4	12.35
2016	2	5	12.52
2016	2	6	12.93
2016	2	7	13.59
2016	2	8	12.8
2016	2	9	13.08
2016	2	10	13.67
2016	2	11	15.29
2016	2	12	15.78
2016	2	13	16.34
2016	2	14	15.83
2016	2	15	13.1
2016	2	16	12.76
2016	2	17	11.88
2016	2	18	12.26
2016	2	19	11.66
2016	2	20	11.08
2016	2	21	10.62
2016	2	22	12.98
2016	2	23	14.03
2016	2	24	13.33
2016	2	25	13.08
2016	2	26	13.41
2016	2	27	12.27
2016	2	28	11.68
2016	2	29	11.32
2016	3	1	11.64
2016	3	2	13.18
2016	3	3	12.69
2016	3	4	12.5
2016	3	5	13.8
2016	3	6	12.26
2016	3	7	11.46
2016	3	8	12.33
2016	3	9	10.88
2016	3	10	10.86
2016	3	11	10.06
2016	3	12	10.43
2016	3	13	12.34
2016	3	14	12.23
2016	3	15	12.74
2016	3	16	11.73
2016	3	17	12.28
2016	3	18	11.95
2016	3	19	13.76
2016	3	20	16.25
2016	3	21	15.55
2016	3	22	15.01
2016	3	23	14.37
2016	3	24	13.1
2016	3	25	13.23
2016	3	26	13.9
2016	3	27	15.1
2016	3	28	15.47
2016	3	29	16.72
2016	3	30	18.52
2016	3	31	18.05
2016	4	1	18.08
2016	4	2	16.22
2016	4	3	17.29
2016	4	4	18.54
2016	4	5	17.67
2016	4	6	15.9
2016	4	7	15.95
2016	4	8	15.74
2016	4	9	14.44
2016	4	10	15.53
2016	4	11	17.93
2016	4	12	20.88
2016	4	13	18.6
2016	4	14	16.9
2016	4	15	18.43
2016	4	16	19.94
2016	4	17	19.91
2016	4	18	18.4
2016	4	19	18.16
2016	4	20	18.28
2016	4	21	18.5
2016	4	22	17.44
2016	4	23	18.11
2016	4	24	17.47
2016	4	25	15.78
2016	4	26	17.89
2016	4	27	19.15
2016	4	28	19.15
2016	4	29	19.5
2016	4	30	20.34
2016	5	1	17.19
2016	5	2	15.64
2016	5	3	17.8
2016	5	4	17.4
2016	5	5	18.31
2016	5	6	19.73
2016	5	7	16.67
2016	5	8	19.56
2016	5	9	20.55
2016	5	10	22.69
2016	5	11	21.76
2016	5	12	19.55
2016	5	13	18.35
2016	5	14	18.78
2016	5	15	19.59
2016	5	16	19.52
2016	5	17	19.99
2016	5	18	18.12
2016	5	19	20.53
2016	5	20	19.08
2016	5	21	19.87
2016	5	22	22.48
2016	5	23	21.19
2016	5	24	20.68
2016	5	25	23.51
2016	5	26	26.26
2016	5	27	26.7
2016	5	28	24.37
2016	5	29	23.44
2016	5	30	22.6
2016	5	31	21.85
2016	6	1	22.07
2016	6	2	22.54
2016	6	3	23.67
2016	6	4	22.69
2016	6	5	23.39
2016	6	6	24.63
2016	6	7	25.66
2016	6	8	24.77
2016	6	9	25.3
2016	6	10	24.39
2016	6	11	26.77
2016	6	12	25.69
2016	6	13	25.13
2016	6	14	27.36
2016	6	15	29.67
2016	6	16	27.63
2016	6	17	25.45
2016	6	18	25.34
2016	6	19	23.08
2016	6	20	23.05
2016	6	21	23.58
2016	6	22	24.36
2016	6	23	25.22
2016	6	24	26.91
2016	6	25	27.3
2016	6	26	28.29
2016	6	27	27.59
2016	6	28	26.23
2016	6	29	28.16
2016	6	30	30.17
2016	7	1	28.93
2016	7	2	28.07
2016	7	3	28.4
2016	7	4	28.87
2016	7	5	30.19
2016	7	6	29.2
2016	7	7	28.23
2016	7	8	29.01
2016	7	9	30.88
2016	7	10	32.35
2016	7	11	32.77
2016	7	12	32.48
2016	7	13	30.84
2016	7	14	26.58
2016	7	15	24.9
2016	7	16	25.61
2016	7	17	25.98
2016	7	18	26.61
2016	7	19	27.52
2016	7	20	28.66
2016	7	21	30.09
2016	7	22	31.33
2016	7	23	29.96
2016	7	24	28.76
2016	7	25	27.81
2016	7	26	28
2016	7	27	28.55
2016	7	28	28.64
2016	7	29	28.53
2016	7	30	29.58
2016	7	31	32.12
2016	8	1	30.8
2016	8	2	28.6
